week_start,issues_opened,issue_comments,issues_closed,commits,commit_comments,code_additions,code_deletions,contributor_count
2014-04-08,0,0,0,11,0,20,0,2
2014-04-15,0,0,0,0,0,0,0,0
2014-04-22,2,2,1,5,1,1842,223,3
2014-04-29,6,12,5,3,0,799,1,6
2014-05-06,7,16,7,3,0,496,0,5
2014-05-13,7,14,3,3,0,159,43,6
2014-05-20,0,0,2,1,0,113,31,1
2014-05-27,13,14,5,9,0,1853,242,5
2014-06-03,19,28,18,28,0,51840,5024,5
2014-06-10,16,19,4,20,0,34975,28331,9
2014-06-17,25,27,16,32,6,52981,14237,12
2014-06-24,43,49,28,65,6,17115,3749,11
2014-07-01,2,10,1,26,0,35318,203,8
2014-07-08,5,8,4,14,0,406,220,6
2014-07-15,10,42,12,28,0,3479,387,10
2014-07-22,17,31,11,37,1,11511,225,15
2014-07-29,23,41,16,25,0,2268,126,16
2014-08-05,11,24,8,39,0,158842,94419,16
2014-08-12,14,14,14,28,0,84544,6829,11
2014-08-19,19,31,7,36,0,1127692,741154,14
2014-08-26,6,10,5,18,2,391617,57228,10
2014-09-02,2,5,1,37,1,3282567,1619591,10
2014-09-09,9,8,6,43,0,22565,469,8
2014-09-16,3,9,12,11,0,1478,400,4
2014-09-23,6,4,7,18,0,897,82,5
2014-09-30,4,1,3,9,2,294,38,3
2014-10-07,9,42,11,24,1,3149775,2497156,9
2014-10-14,9,18,5,18,0,739228,633381,11
2014-10-21,11,6,9,57,0,32906,3694,8
2014-10-28,11,28,12,51,0,5333,2962,10
2014-11-04,5,5,3,24,0,2978,1004,6
2014-11-11,3,12,1,20,0,2177,1021,6
2014-11-18,2,1,0,35,0,4038,1366,9
2014-11-25,5,1,6,23,0,6180,2170,6
2014-12-02,10,17,5,69,4,16817,4038,9
2014-12-09,11,73,6,64,2,2160,2768,11
2014-12-16,26,126,33,45,9,2131,1249,14
2014-12-23,5,17,5,8,1,547,111,8
2014-12-30,3,2,1,9,5,5358,28155,4
2015-01-06,30,39,16,29,0,5588,3374,11
2015-01-13,7,29,5,13,4,477,435,8
2015-01-20,28,54,15,16,0,12953,705,10
2015-01-27,26,69,10,19,0,111831,110523,22
2015-02-03,33,124,45,42,5,53070,4082,19
2015-02-10,36,131,29,41,0,91014,89977,17
2015-02-17,26,125,24,19,6,49152,1102,17
2015-02-24,28,74,24,19,0,1318,1122,13
2015-03-03,30,96,27,36,2,14863,1788,16
2015-03-10,17,34,22,52,0,7636,1402,9
