repo,weeks_old,contributors,issues,issue_comments,closed_issues,comments_per_closed,issues_per_week,closed_per_week,commits,commit_comments,comments_per_commit,commits_per_week,code_additions,code_deletions,additions_per_week,deletions_per_week,contributors_per_week
Data-Quality,27.714285714285715,9,45,189,34,5.5588235294117645,1.6237113402061856,1.22680412371134,100,7,0.07,3.6082474226804124,114018,159514,4114.051546391753,5755.659793814433,2.2010309278350513
Data_Coordinating_Center,48.142857142857146,5,95,141,75,1.88,1.973293768545994,1.5578635014836795,81,1,0.012345679012345678,1.6824925816023737,43306,4794,899.5311572700297,99.57863501483679,1.4955489614243322
Data_Models,37.57142857142857,8,120,526,107,4.91588785046729,3.193916349809886,2.8479087452471483,155,19,0.12258064516129032,4.1254752851711025,56310,12471,1498.745247148289,331.9277566539924,5.269961977186312
dcc_deploy,8.571428571428571,1,22,5,18,0.2777777777777778,2.566666666666667,2.1,15,0,0.0,1.75,1871,762,218.28333333333333,88.9,0.8166666666666667
Colorado,48.142857142857146,3,17,54,11,4.909090909090909,0.35311572700296734,0.22848664688427298,143,0,0.0,2.9703264094955486,12164,1088,252.6646884272997,22.59940652818991,0.9347181008902077
Nationwide,48.142857142857146,2,4,10,0,0.0,0.0830860534124629,0.0,30,0,0.0,0.6231454005934718,226609,4452,4707.011869436202,92.47477744807121,0.5192878338278931
StLouis,48.142857142857146,3,7,38,2,19.0,0.14540059347181009,0.04154302670623145,67,0,0.0,1.3916913946587537,8805708,5708298,182907.88130563797,118569.9881305638,0.830860534124629
Boston,48.142857142857146,3,2,24,0,0.0,0.04154302670623145,0.0,48,0,0.0,0.9970326409495548,2229,538,46.29970326409495,11.17507418397626,0.3323442136498516
CCHMC,48.142857142857146,4,3,6,0,0.0,0.062314540059347175,0.0,58,1,0.017241379310344827,1.204747774480712,104507,47233,2170.7685459940653,981.1008902077151,0.5400593471810089
pedsnet_achilles,28.285714285714285,1,18,14,17,0.8235294117647058,0.6363636363636364,0.601010101010101,25,0,0.0,0.8838383838383839,957,593,33.833333333333336,20.964646464646464,0.4595959595959596
CHOP,48.142857142857146,7,138,192,124,1.5483870967741935,2.86646884272997,2.57566765578635,262,15,0.05725190839694656,5.44213649851632,35627,17426,740.026706231454,361.9643916913946,2.7418397626112756
pedsnetcdms,1.1428571428571428,1,4,0,2,0.0,3.5,1.75,4,0,0.0,3.5,9886,10,8650.25,8.75,1.75
network-queries,9.0,2,4,17,2,8.5,0.4444444444444444,0.2222222222222222,8,0,0.0,0.8888888888888888,107992,160,11999.111111111111,17.77777777777778,1.2222222222222223
pedsnet_harvest,25.0,4,27,10,16,0.625,1.08,0.64,163,0,0.0,6.52,170838,23040,6833.52,921.6,0.4
pedsnetcdm_to_pcornetcdm,1.2857142857142858,1,4,8,0,0.0,3.1111111111111107,0.0,1,0,0.0,0.7777777777777777,573,0,445.66666666666663,0.0,3.8888888888888884
dcc-rfc-tracking,17.571428571428573,1,0,0,0,0.0,0.0,0.0,19,0,0.0,1.08130081300813,2565,597,145.97560975609755,33.975609756097555,0.2845528455284553
Nemours,48.142857142857146,2,5,28,1,28.0,0.10385756676557863,0.020771513353115726,22,0,0.0,0.45697329376854595,46356,0,962.8842729970326,0.0,0.5192878338278931
Seattle,48.142857142857146,5,14,19,2,9.5,0.29080118694362017,0.04154302670623145,66,0,0.0,1.3709198813056378,9994,166,207.59050445103856,3.4480712166172105,0.5192878338278931
dcc-loader,37.42857142857143,3,95,251,85,2.9529411764705884,2.5381679389312977,2.2709923664122136,127,15,0.11811023622047244,3.393129770992366,20403,5831,545.118320610687,155.79007633587784,1.6564885496183206
pedsnet_db,15.428571428571429,2,16,10,14,0.7142857142857143,1.037037037037037,0.9074074074074074,45,0,0.0,2.9166666666666665,2637,2872,170.91666666666666,186.14814814814815,0.9074074074074074
total,48.285714285714285,71,640,1542,510,3.023529411764706,13.254437869822485,10.562130177514794,1439,58,0.04030576789437109,29.801775147928996,9774550,5989845,202431.50887573964,124050.04437869822,9.402366863905325
